5/2/2015
1:30:04 PM

0, CH+=0, CH-=199, Range=+/-10, y=a*26.8643-68.1-.131533
1, CH+=1, CH-=199, Range=+/-10, y=b*1318.19-1319.239
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	2.529721	1.750238	1.401907	2.502807	-0.272349	987.907611	1.401907	2.502807
0.000333	2.544928	1.745175	1.406979	2.497741	0.136175	981.232936	1.406979	2.497741
0.000667	2.514514	1.750238	1.406979	2.482542	-0.680872	987.907611	1.406979	2.482542
0.001000	2.519583	1.740111	1.381620	2.502807	-0.544698	974.558261	1.381620	2.502807
0.001333	2.529721	1.740111	1.401907	2.507873	-0.272349	974.558261	1.401907	2.507873
0.001667	2.529721	1.745175	1.401907	2.497741	-0.272349	981.232936	1.401907	2.497741
0.002000	2.539859	1.750238	1.412051	2.507873	0.000000	987.907611	1.412051	2.507873
0.002333	2.580411	1.740111	1.396835	2.518006	1.089396	974.558261	1.396835	2.518006
0.002667	2.549997	1.745175	1.406979	2.502807	0.272349	981.232936	1.406979	2.502807
0.003000	2.539859	1.745175	1.412051	2.482542	0.000000	981.232936	1.412051	2.482542
0.003333	2.544928	1.719857	1.396835	2.487608	0.136175	947.859561	1.396835	2.487608
0.003667	2.529721	1.745175	1.412051	2.482542	-0.272349	981.232936	1.412051	2.482542
0.004000	2.534790	1.750238	1.406979	2.472409	-0.136174	987.907611	1.406979	2.472409
0.004333	2.509445	1.724921	1.391763	2.507873	-0.817047	954.534236	1.391763	2.507873
0.004667	2.544928	1.745175	1.396835	2.512940	0.136175	981.232936	1.396835	2.512940
0.005000	2.539859	1.760365	1.401907	2.502807	0.000000	1001.256961	1.401907	2.502807
0.005333	2.549997	1.745175	1.396835	2.497741	0.272349	981.232936	1.396835	2.497741
0.005667	2.544928	1.735048	1.396835	2.497741	0.136175	967.883586	1.396835	2.497741
0.006000	2.519583	1.750238	1.396835	2.472409	-0.544698	987.907611	1.396835	2.472409
0.006333	2.529721	1.740111	1.412051	2.482542	-0.272349	974.558261	1.412051	2.482542
0.006667	2.534790	1.740111	1.401907	2.472409	-0.136174	974.558261	1.401907	2.472409
0.007000	2.524652	1.750238	1.401907	2.492675	-0.408523	987.907611	1.401907	2.492675
0.007333	2.514514	1.735048	1.401907	2.497741	-0.680872	967.883586	1.401907	2.497741
0.007667	2.509445	1.740111	1.396835	2.502807	-0.817047	974.558261	1.396835	2.502807
0.008000	2.539859	1.745175	1.396835	2.477476	0.000000	981.232936	1.396835	2.477476
0.008333	2.544928	1.750238	1.391763	2.482542	0.136175	987.907611	1.391763	2.482542
0.008667	2.529721	1.740111	1.396835	2.482542	-0.272349	974.558261	1.396835	2.482542
0.009000	2.524652	1.745175	1.401907	2.462277	-0.408523	981.232936	1.401907	2.462277
0.009333	2.529721	1.740111	1.396835	2.477476	-0.272349	974.558261	1.396835	2.477476
0.009667	2.514514	1.740111	1.391763	2.497741	-0.680872	974.558261	1.391763	2.497741
0.010000	2.529721	1.745175	1.401907	2.497741	-0.272349	981.232936	1.401907	2.497741
0.010333	2.549997	1.724921	1.401907	2.507873	0.272349	954.534236	1.401907	2.507873
0.010667	2.534790	1.740111	1.396835	2.502807	-0.136174	974.558261	1.396835	2.502807
0.011000	2.555066	1.745175	1.396835	2.477476	0.408524	981.232936	1.396835	2.477476
0.011333	2.544928	1.740111	1.391763	2.467343	0.136175	974.558261	1.391763	2.467343
0.011667	2.514514	1.740111	1.376548	2.502807	-0.680872	974.558261	1.376548	2.502807
0.012000	2.519583	1.729984	1.412051	2.507873	-0.544698	961.208911	1.412051	2.507873
0.012333	2.529721	1.745175	1.406979	2.518006	-0.272349	981.232936	1.406979	2.518006
0.012667	2.529721	1.735048	1.386691	2.518006	-0.272349	967.883586	1.386691	2.518006
0.013000	2.549997	1.735048	1.401907	2.482542	0.272349	967.883586	1.401907	2.482542
0.013333	2.544928	1.745175	1.381620	2.482542	0.136175	981.232936	1.381620	2.482542
