,CH1,CH2
Second,Volt,Volt
-6.00000e-04,1.20e-01,-2.00e-02, 
-5.98000e-04,3.40e-01,-4.00e-02, 
-5.96000e-04,3.40e-01,-2.00e-02, 
-5.94000e-04,5.40e-01,-4.00e-02, 
-5.92000e-04,5.60e-01,-2.00e-02, 
-5.90000e-04,7.40e-01,-4.00e-02, 
-5.88000e-04,7.60e-01,-4.00e-02, 
-5.86000e-04,8.80e-01,-2.00e-02, 
-5.84000e-04,8.80e-01,-2.00e-02, 
-5.82000e-04,9.80e-01,-4.00e-02, 
-5.80000e-04,9.80e-01,-2.00e-02, 
-5.78000e-04,1.00e+00,-4.00e-02, 
-5.76000e-04,1.00e+00,-2.00e-02, 
-5.74000e-04,9.60e-01,-4.00e-02, 
-5.72000e-04,9.60e-01,-2.00e-02, 
-5.70000e-04,8.80e-01,-4.00e-02, 
-5.68000e-04,8.60e-01,-2.00e-02, 
-5.66000e-04,7.40e-01,-4.00e-02, 
-5.64000e-04,7.20e-01,-2.00e-02, 
-5.62000e-04,5.40e-01,-2.00e-02, 
-5.60000e-04,5.40e-01,-4.00e-02, 
-5.58000e-04,3.40e-01,-2.00e-02, 
-5.56000e-04,3.20e-01,-4.00e-02, 
-5.54000e-04,8.00e-02,-2.00e-02, 
-5.52000e-04,6.00e-02,-4.00e-02, 
-5.50000e-04,-1.60e-01,-2.00e-02, 
-5.48000e-04,-2.00e-01,-2.00e-02, 
-5.46000e-04,-4.00e-01,-4.00e-02, 
-5.44000e-04,-4.40e-01,-4.00e-02, 
-5.42000e-04,-6.00e-01,-2.00e-02, 
-5.40000e-04,-6.20e-01,-2.00e-02, 
-5.38000e-04,-7.60e-01,-4.00e-02, 
-5.36000e-04,-7.80e-01,-2.00e-02, 
-5.34000e-04,-8.80e-01,-4.00e-02, 
-5.32000e-04,-9.00e-01,-2.00e-02, 
-5.30000e-04,-9.60e-01,-4.00e-02, 
-5.28000e-04,-9.60e-01,-2.00e-02, 
-5.26000e-04,-9.40e-01,-4.00e-02, 
-5.24000e-04,-9.60e-01,-2.00e-02, 
-5.22000e-04,-8.80e-01,-4.00e-02, 
-5.20000e-04,-8.80e-01,-2.00e-02, 
-5.18000e-04,-7.60e-01,-4.00e-02, 
-5.16000e-04,-7.40e-01,-2.00e-02, 
-5.14000e-04,-6.00e-01,-4.00e-02, 
-5.12000e-04,-5.80e-01,-2.00e-02, 
-5.10000e-04,-3.80e-01,-4.00e-02, 
-5.08000e-04,-3.80e-01,-2.00e-02, 
-5.06000e-04,-1.80e-01,-4.00e-02, 
-5.04000e-04,-1.40e-01,-2.00e-02, 
-5.02000e-04,8.00e-02,-4.00e-02, 
-5.00000e-04,1.20e-01,-2.00e-02, 
-4.98000e-04,3.40e-01,-4.00e-02, 
-4.96000e-04,3.40e-01,-2.00e-02, 
-4.94000e-04,5.40e-01,-4.00e-02, 
-4.92000e-04,5.60e-01,-4.00e-02, 
-4.90000e-04,7.20e-01,-2.00e-02, 
-4.88000e-04,7.60e-01,-2.00e-02, 
-4.86000e-04,9.00e-01,-4.00e-02, 
-4.84000e-04,8.80e-01,-2.00e-02, 
-4.82000e-04,9.80e-01,-4.00e-02, 
-4.80000e-04,9.80e-01,-2.00e-02, 
-4.78000e-04,1.00e+00,-4.00e-02, 
-4.76000e-04,1.00e+00,-2.00e-02, 
-4.74000e-04,9.60e-01,-4.00e-02, 
-4.72000e-04,9.60e-01,-2.00e-02, 
-4.70000e-04,8.60e-01,-4.00e-02, 
-4.68000e-04,8.80e-01,-2.00e-02, 
-4.66000e-04,7.20e-01,-4.00e-02, 
-4.64000e-04,7.20e-01,-2.00e-02, 
-4.62000e-04,5.40e-01,-4.00e-02, 
-4.60000e-04,5.20e-01,-4.00e-02, 
-4.58000e-04,3.20e-01,-2.00e-02, 
-4.56000e-04,3.00e-01,-2.00e-02, 
-4.54000e-04,8.00e-02,-4.00e-02, 
-4.52000e-04,4.00e-02,-4.00e-02, 
-4.50000e-04,-1.60e-01,-2.00e-02, 
-4.48000e-04,-1.80e-01,-4.00e-02, 
-4.46000e-04,-4.00e-01,-2.00e-02, 
